School Name,Address
BONITA ES,21929 BONITA ST CARSON 90745
EDISON MS,6500 HOOPER AVE LOS ANGELES 90001
ARLINGTON HTS ES,1717 SEVENTH AVE LOS ANGELES 90019
CENTURY PK ES,10935 S SPINNING AVE INGLEWOOD 90303
SOUTH GATE HS,3351 FIRESTONE BLVD SOUTH GATE 90280
HARBOR TEACHER PREP ACAD,1111 FIGUEROA PL WILMINGTON 90744
DELEVAN DRIVE ES,4168 W AVE 42 LOS ANGELES 90065
VALERIO ES,15035 VALERIO ST VAN NUYS 91405
PUC SANTA ROSA CHRTR ACAD,3838 EAGLE ROCK BLVD LOS ANGELES 90065
CELERITY CARDINAL CHRTR,7330 BAKMAN AVE SUN VALLEY 91352
ALLIANCE BURTON TECH HS,10101 S BROADWAY LOS ANGELES 90003
HILLSIDE ES,120 E AVE 35 LOS ANGELES 90031
DOMINGUEZ ES,21250 SANTA FE AV CARSON 90810
ROYBAL LC,1213 WEST 1ST ST LOS ANGELES 90026
CR EEC #2,421 S HILLVIEW AVE LOS ANGELES 90022
OCHOA LRNG CTR,5057 LIVE OAK ST CUDAHY 90201
PANORAMA HS,8015 VAN NUYS BLVD PANORAMA CITY 91402
VILLAGE CHARTER SCHOOL,7357 JORDAN AVE CANOGA PARK 91303
JOHNSTON CDS,2210 TAPER AVE S SAN PEDRO 90731
CITIZENS OF THE WORLD HOLLYWOOD,1316 N BRONSON AVE LOS ANGELES 90028
RANCHO DOMINGUEZ PREP SCH,4110 SANTA FE AVE LONG BEACH 90810
98TH ST ES,5431 W 98TH ST LOS ANGELES 90045
CELERITY TROIKA CHRTR,1495 COLORADO BLVD LOS ANGELES 90041
MARK TWAIN MS,2224 WALGROVE AVE LOS ANGELES 90066
INDEPENDENCE ES,8435 VICTORIA AVE SOUTH GATE 90280
HUGHES MS,5607 NORTH CAPISTRANO AVE WOODLAND HILLS 91364
WILTON PL ES,745 S WILTON PL LOS ANGELES 90005
STANFORD PC,3020 KANSAS AVE SOUTH GATE 90280
BALBOA G/HA MAG,17020 LABRADOR ST NORTHRIDGE 91325
MILES ES,6020 MILES AVE HUNTINGTON PARK 90255
PUC COMMUNITY CHRTR ES,14019 SAYER ST SYLMAR 91342
PACOIMA MS,9919 LAUREL CANYON BLVD PACOIMA 91331
HUERTA ES,260 E 31ST ST LOS ANGELES 90011
ANDASOL ES,10126 ENCINO AVE NORTHRIDGE 91325
SKL CTR-ELA,3921 SELIG PL LOS ANGELES 90033
MDCTY AD-BLMNT CM AD,1510 CAMBRIA ST LOS ANGELES 90017
SHERIDAN ST ES,416 N CORNWELL ST LOS ANGELES 90033
EARLY COLLEGE ACAD,1319 E 41ST ST LOS ANGELES 90011
CTR ADV TRANS SKILLS,15805 S BUDLONG AVE GARDENA 90247
PLASENCIA ES,1321 CORTEZ ST LOS ANGELES 90026
ARLETA HS,14200 VAN NUYS BLVD ARLETA 91331
SAN PEDRO ES,1635 S SAN PEDRO LOS ANGELES 90015
ORTHOPEDIC MED MG HS,300 W 23RD ST LOS ANGELES 90007
PORTER MS,15960 KINGSBURY ST GRANADA HILLS 91344
VALOR ACAD CHRTR HS,8015 VAN NUYS BLVD PANORAMA CITY 91402
SELLERY SP ED CTR,15805 S BUDLONG AVE GARDENA 90247
MARQUEZ HS SCH OF SOC JUSTICE,6361 COTTAGE ST HUNTINGTON PARK 90255
WESTSIDE INNOVATIVE SCHOOL HOUSE,6550 W 80TH ST LOS ANGELES 90045
CHARNOCK ROAD ES,11133 CHARNOCK RD LOS ANGELES 90034
GARDNER ES,7450 HAWTHORN AVE LOS ANGELES 90046
MARVIN ES,2411 MARVIN AVE LOS ANGELES 90016
MICHELTORENA ES,1511 MICHELTORENA LOS ANGELES 90026
116TH ST ES,11610 STANFORD AVE LOS ANGELES 90059
KIPP VIDA PREP ACAD,5101 S. WESTERN AVE. LOS ANGELES 90044
MAYBERRY ES,2414 MAYBERRY ST LOS ANGELES 90026
KING FILM/MEDIA MAG,4201 FOUNTAIN AVE LOS ANGELES 90029
